,rmse_avg,rmse_std,mae_avg,mae_std,r2,r2_std,pc-er_avg,pc-er_std,doa,doa_std,rm,rm_std,d_in,num_responses,exec_time,exec_time_avg,exec_time_std
270,0.2837,0.0015,0.195,0.0011,0.2513,0.0105,0.485,0.0089,0.6546,0.0027,0.4953,0.0099,5.0,7.0,303.1339383125305,303.1339383125305,60.81154697456889
271,0.2817,0.0026,0.1944,0.0013,0.2615,0.0165,0.4831,0.0085,0.6539,0.0027,0.4932,0.0087,5.0,8.0,296.52091813087463,296.52091813087463,59.27767002324419
272,0.2796,0.0033,0.1937,0.0007,0.2726,0.0201,0.4827,0.0079,0.654,0.0022,0.4927,0.0083,5.0,9.0,320.01209354400635,320.01209354400635,63.94461766661043
273,0.2809,0.0007,0.1929,0.0009,0.2659,0.0063,0.4836,0.0078,0.6542,0.0024,0.4935,0.0079,5.0,10.0,293.3095066547394,293.3095066547394,58.2621734358312
274,0.279,0.0012,0.1927,0.0014,0.2757,0.0084,0.4815,0.0082,0.6539,0.0027,0.4918,0.0088,5.0,11.0,302.72224044799805,302.72224044799805,60.31524800429813
275,0.278,0.0021,0.1924,0.0014,0.281,0.0132,0.4819,0.0082,0.6542,0.0026,0.4923,0.0084,5.0,12.0,284.40562319755554,284.40562319755554,56.89053785844281
276,0.274,0.0011,0.1948,0.0009,0.3015,0.0082,0.4773,0.0081,0.6528,0.0025,0.4866,0.0081,5.0,13.0,454.39684295654297,454.39684295654297,91.04428003522145
277,0.2761,0.0035,0.1937,0.0009,0.2903,0.0211,0.4788,0.0076,0.6533,0.0023,0.4888,0.0081,5.0,14.0,390.87998366355896,390.87998366355896,78.28223240601893
278,0.2898,0.0018,0.1993,0.0013,0.2185,0.0121,0.4895,0.0085,0.6558,0.0028,0.4995,0.009,6.0,5.0,284.45290517807007,284.45290517807007,56.864932640808476
279,0.287,0.0024,0.1967,0.0017,0.2335,0.0164,0.4884,0.0097,0.6553,0.0029,0.4985,0.0103,6.0,6.0,272.2513659000397,272.2513659000397,54.3959188667098
280,0.2841,0.0018,0.1954,0.0011,0.2491,0.0123,0.4851,0.0098,0.6546,0.0029,0.4951,0.0102,6.0,7.0,317.85312485694885,317.85312485694885,63.61406089791743
281,0.2822,0.0022,0.1939,0.0015,0.2592,0.0146,0.484,0.0078,0.6541,0.0023,0.4941,0.008,6.0,8.0,281.08823347091675,281.08823347091675,56.233288930401784
282,0.2809,0.0027,0.1932,0.0013,0.2656,0.0166,0.4842,0.0087,0.6545,0.0028,0.4941,0.0092,6.0,9.0,288.480509519577,288.480509519577,57.977011006903346
283,0.2798,0.0007,0.1926,0.0011,0.2717,0.006,0.4827,0.0076,0.6541,0.0025,0.4928,0.0077,6.0,10.0,277.8496916294098,277.8496916294098,55.59922647997762
284,0.2796,0.0014,0.1924,0.0009,0.2724,0.0096,0.4832,0.0086,0.6543,0.0026,0.4934,0.0092,6.0,11.0,260.7022662162781,260.7022662162781,51.84420405081616
285,0.2766,0.0021,0.193,0.0009,0.2879,0.0136,0.4798,0.0081,0.6534,0.0026,0.4897,0.0083,6.0,12.0,326.9751076698303,326.9751076698303,65.14050990695961
286,0.2774,0.0019,0.1926,0.001,0.2842,0.013,0.4796,0.0081,0.6534,0.0025,0.4897,0.0085,6.0,13.0,354.0157148838043,354.0157148838043,71.10689484415359
287,0.2768,0.0023,0.1917,0.0011,0.2873,0.0134,0.4803,0.0082,0.6539,0.0028,0.4907,0.0085,6.0,14.0,308.35506200790405,308.35506200790405,61.436780309290796
288,0.2919,0.0021,0.2007,0.0018,0.2074,0.0145,0.4884,0.0088,0.6554,0.0031,0.4988,0.0092,7.0,5.0,262.18671917915344,262.18671917915344,52.590243326437395
289,0.2873,0.0022,0.1972,0.0014,0.2322,0.0147,0.4888,0.0089,0.6552,0.0028,0.4989,0.0091,7.0,6.0,271.59499955177307,271.59499955177307,54.26532536331274
290,0.2855,0.0014,0.1954,0.0015,0.2414,0.0105,0.4873,0.0092,0.6553,0.0028,0.4972,0.0095,7.0,7.0,276.35159254074097,276.35159254074097,55.2363668493677
291,0.2825,0.0026,0.1946,0.0017,0.2575,0.0168,0.4847,0.0097,0.6545,0.0029,0.4948,0.0103,7.0,8.0,261.9282660484314,261.9282660484314,52.358826653132596
292,0.2807,0.0016,0.1932,0.0014,0.267,0.011,0.4845,0.0084,0.6545,0.0026,0.4947,0.0088,7.0,9.0,286.98877024650574,286.98877024650574,57.642031041192986
293,0.2794,0.0016,0.1927,0.0011,0.2735,0.0101,0.483,0.0089,0.6542,0.0027,0.4931,0.0092,7.0,10.0,282.4845986366272,282.4845986366272,56.45835136161665
294,0.2791,0.0012,0.1922,0.001,0.2751,0.0089,0.4826,0.0075,0.6541,0.0023,0.4929,0.0078,7.0,11.0,305.49163603782654,305.49163603782654,61.09166335099628
295,0.2781,0.0019,0.1919,0.0016,0.2803,0.0133,0.4822,0.0074,0.654,0.0024,0.4923,0.0079,7.0,12.0,305.9709815979004,305.9709815979004,60.88803562010018
296,0.2775,0.0021,0.1926,0.0017,0.2836,0.0125,0.4807,0.0081,0.6539,0.0027,0.4909,0.0086,7.0,13.0,291.58088636398315,291.58088636398315,58.357515375138235
297,0.2768,0.002,0.1919,0.0012,0.2869,0.0134,0.4797,0.0078,0.6536,0.0025,0.4902,0.008,7.0,14.0,295.42348861694336,295.42348861694336,59.190906224784285
298,0.2911,0.0023,0.1998,0.0015,0.2118,0.0157,0.4897,0.0091,0.6557,0.0027,0.5001,0.0093,8.0,5.0,262.19374680519104,262.19374680519104,52.48657847716897
299,0.2868,0.0023,0.1968,0.0013,0.2346,0.0155,0.489,0.0087,0.6557,0.0027,0.4995,0.0093,8.0,6.0,281.23830938339233,281.23830938339233,56.52724112889582
300,0.2847,0.0012,0.1956,0.0014,0.2456,0.0096,0.4866,0.0099,0.655,0.0031,0.4969,0.0106,8.0,7.0,262.13652300834656,262.13652300834656,52.43833887262536
301,0.2825,0.0022,0.1934,0.0014,0.2577,0.0141,0.4869,0.0088,0.6549,0.0027,0.4969,0.0092,8.0,8.0,302.4692244529724,302.4692244529724,60.55364038181829
302,0.2803,0.0009,0.1926,0.0011,0.2688,0.0078,0.4858,0.0086,0.6549,0.0026,0.4963,0.0089,8.0,9.0,298.535596370697,298.535596370697,60.036820076193045
303,0.2799,0.0022,0.1927,0.0012,0.2708,0.0135,0.4833,0.0079,0.6543,0.0024,0.4938,0.0083,8.0,10.0,301.2458827495575,301.2458827495575,59.939173712039874
304,0.2793,0.0017,0.1926,0.0014,0.2741,0.0115,0.4817,0.0082,0.6538,0.0027,0.4918,0.0086,8.0,11.0,299.2356288433075,299.2356288433075,59.75596069910163
305,0.2773,0.0017,0.1923,0.0013,0.2844,0.0116,0.4804,0.0076,0.6535,0.0025,0.4904,0.008,8.0,12.0,310.36754155159,310.36754155159,62.35874006072186
306,0.2782,0.0023,0.1923,0.0014,0.2798,0.0149,0.482,0.0087,0.6542,0.0029,0.4921,0.0092,8.0,13.0,294.1433155536652,294.1433155536652,59.015888940395264
307,0.277,0.0006,0.192,0.0012,0.2862,0.0057,0.4802,0.0082,0.6536,0.0027,0.4903,0.0086,8.0,14.0,288.74521255493164,288.74521255493164,57.88471853075442
308,0.2918,0.0019,0.2004,0.0014,0.2078,0.0139,0.4901,0.0095,0.6559,0.0031,0.5006,0.0103,9.0,5.0,292.2704336643219,292.2704336643219,58.620616880757275
309,0.2868,0.0016,0.1966,0.001,0.2346,0.0118,0.4894,0.009,0.6556,0.0028,0.4999,0.0096,9.0,6.0,281.0632538795471,281.0632538795471,56.27806401773363
310,0.2851,0.0015,0.1951,0.0009,0.2438,0.0108,0.4887,0.0091,0.6556,0.0027,0.4991,0.0094,9.0,7.0,293.0195429325104,293.0195429325104,58.93022807200853
311,0.2825,0.001,0.1939,0.0013,0.2574,0.0073,0.4866,0.0091,0.6552,0.0028,0.497,0.0095,9.0,8.0,294.5825831890106,294.5825831890106,58.99206847174827
312,0.2811,0.0007,0.193,0.001,0.2648,0.0048,0.4854,0.0093,0.6546,0.003,0.4958,0.0101,9.0,9.0,287.72077918052673,287.72077918052673,57.592129257284405
313,0.2798,0.0014,0.1924,0.001,0.2716,0.0101,0.4841,0.0082,0.6546,0.0027,0.4946,0.0086,9.0,10.0,293.71698355674744,293.71698355674744,58.77518844617462
